neg,neu,pos,compound
0.0,0.925,0.075,0.6124
0.0,0.925,0.075,0.6124
0.167,0.797,0.036,-0.9382
0.167,0.797,0.036,-0.9382
0.074,0.849,0.077,0.0258
0.074,0.849,0.077,0.0258
0.033,0.902,0.065,0.6369
0.033,0.902,0.065,0.6369
0.031,0.824,0.145,0.802
0.031,0.824,0.145,0.802
0.0,0.879,0.121,0.875
0.0,0.879,0.121,0.875
0.0,0.848,0.152,0.5106
0.0,0.848,0.152,0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.172,0.675,0.153,-0.0772
0.172,0.675,0.153,-0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.052,0.906,0.042,0.0
0.052,0.906,0.042,0.0
0.021,0.867,0.112,0.8519
0.021,0.867,0.112,0.8519
0.056,0.944,0.0,-0.5719
0.056,0.944,0.0,-0.5719
0.007,0.933,0.06,0.8442
0.007,0.933,0.06,0.8442
0.094,0.889,0.018,-0.6908
0.094,0.889,0.018,-0.6908
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.041,0.861,0.098,0.4404
0.041,0.861,0.098,0.4404
0.037,0.927,0.036,-0.0258
0.037,0.927,0.036,-0.0258
0.124,0.696,0.18,0.6124
0.124,0.696,0.18,0.6124
0.165,0.623,0.212,0.3182
0.165,0.623,0.212,0.3182
0.0,0.954,0.046,0.296
0.0,0.954,0.046,0.296
0.099,0.817,0.085,-0.5994
0.099,0.817,0.085,-0.5994
0.0,0.922,0.078,0.4019
0.0,0.922,0.078,0.4019
0.037,0.909,0.054,0.5719
0.037,0.909,0.054,0.5719
0.0,0.858,0.142,0.8689
0.0,0.858,0.142,0.8689
0.036,0.926,0.038,0.0258
0.036,0.926,0.038,0.0258
0.162,0.694,0.145,-0.0772
0.162,0.694,0.145,-0.0772
0.106,0.809,0.085,-0.765
0.106,0.809,0.085,-0.765
0.0,0.848,0.152,0.3612
0.0,0.848,0.152,0.3612
0.082,0.89,0.028,-0.9538
0.082,0.89,0.028,-0.9538
0.107,0.85,0.044,-0.6705
0.107,0.85,0.044,-0.6705
0.029,0.851,0.12,0.8689
0.029,0.851,0.12,0.8689
0.082,0.772,0.146,0.6808
0.082,0.772,0.146,0.6808
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.04,0.946,0.014,-0.5719
0.04,0.946,0.014,-0.5719
0.09,0.884,0.027,-0.8885
0.09,0.884,0.027,-0.8885
0.076,0.804,0.119,0.9781
0.076,0.804,0.119,0.9781
0.005,0.93,0.065,0.9136
0.005,0.93,0.065,0.9136
0.0,0.828,0.172,0.3612
0.0,0.828,0.172,0.3612
0.037,0.881,0.082,0.5859
0.037,0.881,0.082,0.5859
0.0,0.781,0.219,0.9451
0.0,0.781,0.219,0.9451
0.0,0.906,0.094,0.5719
0.0,0.906,0.094,0.5719
0.033,0.789,0.178,0.9509
0.033,0.789,0.178,0.9509
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.038,0.708,0.254,0.9531
0.038,0.708,0.254,0.9531
0.092,0.85,0.058,-0.9231
0.092,0.85,0.058,-0.9231
0.0,0.867,0.133,0.8316
0.0,0.867,0.133,0.8316
0.044,0.942,0.014,-0.5859
0.044,0.942,0.014,-0.5859
0.031,0.854,0.115,0.7906
0.031,0.854,0.115,0.7906
0.0,0.828,0.172,0.3612
0.0,0.828,0.172,0.3612
0.058,0.793,0.148,0.5106
0.058,0.793,0.148,0.5106
0.081,0.803,0.115,0.7964
0.081,0.803,0.115,0.7964
0.063,0.937,0.0,-0.4404
0.063,0.937,0.0,-0.4404
0.023,0.911,0.067,0.5423
0.023,0.911,0.067,0.5423
